cut_id,benchmark,source_artifact,cut_kind,expression,source_leaves,support,support_size,truth_table_hash,complement_truth_table_hash,canonical_truth_table_hash,polarity,npn_class,support_bound,replay_status,schema_version
e230eb8cf1431df1,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,a0,"[""a0""]","[""a0""]",1,f4c301a691a06445,7fd4e7fdf3df71e9,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
0cca6e7b558ef31b,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,a1,"[""a1""]","[""a1""]",1,995a550b79ac88fc,fe2890cae7d32999,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
61472d642d58a12b,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,a2,"[""a2""]","[""a2""]",1,8c9ff4fbade1f53f,36a11e574b4c7856,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
dfc56376c9262c21,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,a3,"[""a3""]","[""a3""]",1,ff907b65bb6b9e71,68c223068d170290,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
a1fb76ee2830f8e4,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,b0,"[""b0""]","[""b0""]",1,2276d889547a2f34,67148ddb81a2e9ae,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
65b01bc5737f5985,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,b1,"[""b1""]","[""b1""]",1,bff1eac7f0c11aeb,d9abd5248af43296,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
15a01c6263c6f770,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,b2,"[""b2""]","[""b2""]",1,3d9b793e65bdc059,1b91b35a813ca4ea,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
c6deef6b2468c695,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,b3,"[""b3""]","[""b3""]",1,58876408afa182a9,510a647af90a514f,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
53512f8322cb3b92,generated_adder_4,variants/generated_adder_4_original.blif,pi_literal,cin,"[""cin""]","[""cin""]",1,45ba984027222788,39383e32dc80703f,923682bea6d517dc,same,npn_923682bea6d517dc,6,source_graph_or_pi_replayable,evidence_advancement_v1
e03d4505825698a3,generated_adder_4,variants/generated_adder_4_original.blif,source_node,new_n15,"[""new_n15""]","[""a0"", ""b0""]",2,189bdd4a6e5bac6e,c08d3c15e8238f54,90f21496b5c851e8,same,npn_94de9e90e231b35b,6,source_graph_or_pi_replayable,evidence_advancement_v1
a123456d79fb48f1,generated_adder_4,variants/generated_adder_4_original.blif,source_node,new_n16,"[""new_n16""]","[""a0"", ""b0""]",2,2b6754bfaa85bb6f,dcca3ccf1c1d3729,2c24932e8e4ebc2f,same,npn_94de9e90e231b35b,6,source_graph_or_pi_replayable,evidence_advancement_v1
9b6fdc7b58f449f2,generated_adder_4,variants/generated_adder_4_original.blif,source_node,new_n17,"[""new_n17""]","[""a0"", ""b0""]",2,8148a642d6eee6bd,1831277e368b3f87,b5d1f15c17250b42,inverted,npn_b5d1f15c17250b42,6,source_graph_or_pi_replayable,evidence_advancement_v1
